Ticker,Period,Revenue,COGS,EBIT,SGA,NetIncome,Cash,Receivables,Inventories,OtherCurrentAssets,PPE,OtherAssets,DebtCurrent,AccountsPayable,OtherCurrentLiabilities,LiabilitiesCurrent,TotalLiabilities,1m_return,3m_return,6m_return,9m_return
AAPL,2015-12-31,233715000000.0,140089000000.0,71230000000.0,14329000000.0,53394000000.0,21120000000.0,16849000000.0,2349000000.0,9539000000.0,22471000000.0,5556000000.0,2500000000.0,35490000000.0,42620000000.0,80610000000.0,171124000000.0,6.142423719044188,8.951864034816026,23.6958981200424,41.062679345819305
AAPL,2016-01-31,233715000000.0,140089000000.0,71230000000.0,14329000000.0,53394000000.0,21120000000.0,16849000000.0,2349000000.0,9539000000.0,22471000000.0,5556000000.0,2500000000.0,35490000000.0,42620000000.0,80610000000.0,171124000000.0,6.142423719044188,8.951864034816026,23.6958981200424,41.062679345819305
AAPL,2016-02-29,233715000000.0,140089000000.0,71230000000.0,14329000000.0,53394000000.0,21120000000.0,16849000000.0,2349000000.0,9539000000.0,22471000000.0,5556000000.0,2500000000.0,35490000000.0,42620000000.0,80610000000.0,171124000000.0,6.142423719044188,8.951864034816026,23.6958981200424,41.062679345819305
AAPL,2016-03-31,75872000000.0,45449000000.0,24171000000.0,3848000000.0,18361000000.0,16689000000.0,12953000000.0,2451000000.0,11073000000.0,22300000000.0,7974000000.0,2500000000.0,33312000000.0,40280000000.0,76092000000.0,165017000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-04-30,75872000000.0,45449000000.0,24171000000.0,3848000000.0,18361000000.0,16689000000.0,12953000000.0,2451000000.0,11073000000.0,22300000000.0,7974000000.0,2500000000.0,33312000000.0,40280000000.0,76092000000.0,165017000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-05-31,75872000000.0,45449000000.0,24171000000.0,3848000000.0,18361000000.0,16689000000.0,12953000000.0,2451000000.0,11073000000.0,22300000000.0,7974000000.0,2500000000.0,33312000000.0,40280000000.0,76092000000.0,165017000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-06-30,50557000000.0,30636000000.0,13987000000.0,3423000000.0,10516000000.0,21514000000.0,12229000000.0,2281000000.0,10204000000.0,23203000000.0,7745000000.0,2500000000.0,25098000000.0,40667000000.0,68265000000.0,174820000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-07-31,50557000000.0,30636000000.0,13987000000.0,3423000000.0,10516000000.0,21514000000.0,12229000000.0,2281000000.0,10204000000.0,23203000000.0,7745000000.0,2500000000.0,25098000000.0,40667000000.0,68265000000.0,174820000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-08-31,50557000000.0,30636000000.0,13987000000.0,3423000000.0,10516000000.0,21514000000.0,12229000000.0,2281000000.0,10204000000.0,23203000000.0,7745000000.0,2500000000.0,25098000000.0,40667000000.0,68265000000.0,174820000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-09-30,42358000000.0,26252000000.0,10105000000.0,3441000000.0,7796000000.0,18237000000.0,11714000000.0,1831000000.0,11132000000.0,25448000000.0,7862000000.0,3500000000.0,26318000000.0,41668000000.0,71486000000.0,179061000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-10-31,42358000000.0,26252000000.0,10105000000.0,3441000000.0,7796000000.0,18237000000.0,11714000000.0,1831000000.0,11132000000.0,25448000000.0,7862000000.0,3500000000.0,26318000000.0,41668000000.0,71486000000.0,179061000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-11-30,42358000000.0,26252000000.0,10105000000.0,3441000000.0,7796000000.0,18237000000.0,11714000000.0,1831000000.0,11132000000.0,25448000000.0,7862000000.0,3500000000.0,26318000000.0,41668000000.0,71486000000.0,179061000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2016-12-31,46852000000.0,29039000000.0,11761000000.0,3482000000.0,9014000000.0,20484000000.0,15754000000.0,2132000000.0,8283000000.0,27010000000.0,8757000000.0,3500000000.0,37294000000.0,38212000000.0,79006000000.0,193437000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2017-01-31,46852000000.0,29039000000.0,11761000000.0,3482000000.0,9014000000.0,20484000000.0,15754000000.0,2132000000.0,8283000000.0,27010000000.0,8757000000.0,3500000000.0,37294000000.0,38212000000.0,79006000000.0,193437000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2017-02-28,46852000000.0,29039000000.0,11761000000.0,3482000000.0,9014000000.0,20484000000.0,15754000000.0,2132000000.0,8283000000.0,27010000000.0,8757000000.0,3500000000.0,37294000000.0,38212000000.0,79006000000.0,193437000000.0,-7.524204105175536,-18.19526252132607,-19.044394858946312,-21.207100554475133
AAPL,2017-03-31,78351000000.0,48175000000.0,23359000000.0,3946000000.0,17891000000.0,16371000000.0,14057000000.0,2712000000.0,12191000000.0,26510000000.0,7390000000.0,3499000000.0,38510000000.0,42121000000.0,84130000000.0,198751000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
AAPL,2017-04-30,78351000000.0,48175000000.0,23359000000.0,3946000000.0,17891000000.0,16371000000.0,14057000000.0,2712000000.0,12191000000.0,26510000000.0,7390000000.0,3499000000.0,38510000000.0,42121000000.0,84130000000.0,198751000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
AAPL,2017-05-31,78351000000.0,48175000000.0,23359000000.0,3946000000.0,17891000000.0,16371000000.0,14057000000.0,2712000000.0,12191000000.0,26510000000.0,7390000000.0,3499000000.0,38510000000.0,42121000000.0,84130000000.0,198751000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
AAPL,2017-06-30,52896000000.0,32305000000.0,14097000000.0,3718000000.0,11029000000.0,15157000000.0,11579000000.0,2910000000.0,11367000000.0,27163000000.0,7549000000.0,3999000000.0,28573000000.0,40770000000.0,73342000000.0,200450000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
AAPL,2017-07-31,52896000000.0,32305000000.0,14097000000.0,3718000000.0,11029000000.0,15157000000.0,11579000000.0,2910000000.0,11367000000.0,27163000000.0,7549000000.0,3999000000.0,28573000000.0,40770000000.0,73342000000.0,200450000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
AAPL,2017-08-31,52896000000.0,32305000000.0,14097000000.0,3718000000.0,11029000000.0,15157000000.0,11579000000.0,2910000000.0,11367000000.0,27163000000.0,7549000000.0,3999000000.0,28573000000.0,40770000000.0,73342000000.0,200450000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
AAPL,2017-09-30,45408000000.0,27920000000.0,10768000000.0,3783000000.0,8717000000.0,18571000000.0,12399000000.0,3146000000.0,10338000000.0,29286000000.0,10150000000.0,6495000000.0,31915000000.0,42892000000.0,81302000000.0,212748000000.0,4.774657478510758,7.4273641998661155,17.679470308262623,31.6198284145726
