date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,SYY_shares,SYY_value,ADP_shares,ADP_value,AAPL_shares,AAPL_value,MU_shares,MU_value,MKC_shares,MKC_value,NKE_shares,NKE_value,COP_shares,COP_value,EA_shares,EA_value,ORCL_shares,ORCL_value,PAYX_shares,PAYX_value,XOM_shares,XOM_value,CVX_shares,CVX_value,CHRW_shares,CHRW_value,GWW_shares,GWW_value,EBAY_shares,EBAY_value,EOG_shares,EOG_value,AES_shares,AES_value,STLD_shares,STLD_value,WDC_shares,WDC_value,APA_shares,APA_value,TRV_shares,TRV_value,DVN_shares,DVN_value,RL_shares,RL_value,F_shares,F_value,RMD_shares,RMD_value,EL_shares,EL_value,EMN_shares,EMN_value,DD_shares,DD_value,VLO_shares,VLO_value,CMI_shares,CMI_value,TER_shares,TER_value,NVR_shares,NVR_value,LII_shares,LII_value,CTRA_shares,CTRA_value,FCX_shares,FCX_value,A_shares,A_value,WSM_shares,WSM_value,DE_shares,DE_value,SNPS_shares,SNPS_value,URI_shares,URI_value,HAS_shares,HAS_value,CSGP_shares,CSGP_value,DECK_shares,DECK_value,FFIV_shares,FFIV_value,DLTR_shares,DLTR_value,MOH_shares,MOH_value,NUE_shares,NUE_value,CTSH_shares,CTSH_value,LRCX_shares,LRCX_value,SWKS_shares,SWKS_value,GRMN_shares,GRMN_value,J_shares,J_value,TTWO_shares,TTWO_value,FAST_shares,FAST_value,NEM_shares,NEM_value,MOS_shares,MOS_value,FDX_shares,FDX_value,PWR_shares,PWR_value,ROST_shares,ROST_value,TJX_shares,TJX_value,CPRT_shares,CPRT_value,TSCO_shares,TSCO_value,SBUX_shares,SBUX_value,VZ_shares,VZ_value,AMAT_shares,AMAT_value,LVS_shares,LVS_value,GLW_shares,GLW_value,EXPD_shares,EXPD_value,HRL_shares,HRL_value,AMP_shares,AMP_value,PCAR_shares,PCAR_value,PRU_shares,PRU_value,FSLR_shares,FSLR_value,KDP_shares,KDP_value,LUV_shares,LUV_value,PHM_shares,PHM_value,SMCI_shares,SMCI_value,TXT_shares,TXT_value,ALB_shares,ALB_value,GE_shares,GE_value,DHI_shares,DHI_value,QCOM_shares,QCOM_value,APD_shares,APD_value,RCL_shares,RCL_value,PSX_shares,PSX_value,ACGL_shares,ACGL_value,OXY_shares,OXY_value,FANG_shares,FANG_value,CF_shares,CF_value,LEN_shares,LEN_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2005-09-30,100.0,0.3955517031406679,10.0,0.1201201201201201,10.0,0.3979059785015048,10.0,0.2997014463969722,10.0,0.3418490446655592,10.0,1.278964276244067,10.0,0.6567907365206682,10.0,0.3500972288265291,10.0,0.4457773764206343,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2005-10-31,99.67259364335482,0.3955517031406679,10.455693837935971,0.1201201201201201,9.717717901006475,0.3979059785015048,10.186597357746685,0.2997014463969722,9.937969583979948,0.3418490446655592,11.225342032915805,1.278964276244067,9.875761620777316,0.6567907365206682,10.675009173107467,0.3500972288265291,9.951755190495517,0.4457773764206343,9.0538462591467,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2005-11-30,106.40367187746804,0.3955517031406679,10.513233857435615,0.1201201201201201,10.697897604635886,0.3979059785015048,11.102612608906773,0.2997014463969722,10.902354656619911,0.3418490446655592,11.59201368105582,1.278964276244067,10.89403185945366,0.6567907365206682,11.860614365819142,0.3500972288265291,10.987508461321852,0.4457773764206343,9.084616910492263,,,0.4792276951590191,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2005-12-31,106.60061807274474,0.3955517031406679,10.200735578536086,0.1201201201201201,11.02102102102102,0.3979059785015048,10.0070748892433,0.2997014463969722,10.748484195088556,0.3418490446655592,11.507492944434144,1.278964276244067,10.019483733509752,0.6567907365206682,12.888231651624109,0.3500972288265291,11.695414182247172,0.4457773764206343,10.08846030853806,,,,,0.3714823286587702,8.424219568502535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2006-01-31,108.95683359248116,0.3955517031406679,9.974876648493606,0.1201201201201201,11.74174174174174,0.3979059785015048,11.6809593798748,0.2997014463969722,10.404741690654385,0.3418490446655592,11.605189808479302,1.278964276244067,10.377587290760877,0.6567907365206682,13.478276991641668,,,,,,,0.6217045013202925,10.798548802290416,0.3714823286587702,8.096362436253983,4.763744994797591,10.798548802290416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2006-03-31,109.8219276554192,0.3955517031406679,9.95473420889848,,,0.3979059785015048,12.896097791028629,0.2997014463969722,9.56811821597702,,,1.278964276244067,10.47012709678222,0.6567907365206682,13.600925415902868,,,0.4935157690709918,10.666384985365992,0.6527775327882525,10.666384985365992,,,,,,,0.7419031248386949,10.666384985365992,0.9422797116082208,10.666384985365992,1.2887041713785965,10.666384985365992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2006-04-30,111.28450200650136,0.3955517031406679,9.67776321595799,,,0.3979059785015048,13.064421260854248,0.2997014463969722,9.4570249271794,,,1.278964276244067,10.3129057840611,0.6567907365206682,13.12689655327925,,,0.4935157690709918,10.517356378807976,0.6527775327882525,11.524787789603357,,,,,,,0.7419031248386949,12.296778827461294,0.9422797116082208,11.03005432894202,1.2887041713785965,10.276512940354714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2006-05-31,105.76586649994655,0.3955517031406679,9.370789811024864,,,,,,,0.2886806790067466,10.421707946617833,1.278964276244067,10.406255481095997,0.6567907365206682,11.79619904509486,,,,,,,,,,,,,0.7419031248386949,11.99968248944453,,,1.2887041713785965,10.08439994019715,0.4153111545210714,10.421707946617834,0.2542630623287065,10.421707946617834,0.912640885104526,10.421707946617834,0.5388344002987241,10.421707946617834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
2006-06-30,108.81729818477564,0.3955517031406679,10.366266777853214,,,,,,,0.2886806790067466,11.274518712434972,1.278964276244067,9.767530786226096,0.6567907365206682,13.125387014938669,,,,,,,,,,,,,,,,,1.2887041713785965,10.171039196591938,0.4153111545210714,10.852069821231488,,,0.912640885104526,10.619588267922207,0.5388344002987241,11.066143151494757,0.3405222455204523,10.787377228041152,0.364398943709752,10.787377228041152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
