date,holdings,scores
2018-06-30,"MU,WDC,NEM,ALK,STX","MU:0.0635,WDC:0.0371,NEM:0.0369,ALK:0.0364,STX:0.0342"
2018-07-31,"MU,WDC,NEM,ALK,STX","MU:0.0635,WDC:0.0371,NEM:0.0369,ALK:0.0364,STX:0.0342"
2018-08-31,"MU,WDC,NEM,ALK,STX","MU:0.0809,WDC:0.0371,NEM:0.0369,ALK:0.0364,STX:0.0342"
2018-09-30,"MU,UAL,TPR,CNC,ALK","MU:0.0809,UAL:0.0526,TPR:0.0381,CNC:0.0309,ALK:0.0292"
2018-10-31,"MU,UAL,TPR,CNC,ALK","MU:0.0809,UAL:0.0526,TPR:0.0381,CNC:0.0309,ALK:0.0292"
2018-11-30,"UAL,MU,TPR,CNC,ALK","UAL:0.0526,MU:0.0518,TPR:0.0381,CNC:0.0309,ALK:0.0292"
2018-12-31,"MU,ALK,NEM,UAL,TPR","MU:0.0518,ALK:0.0419,NEM:0.0395,UAL:0.0378,TPR:0.0319"
2019-01-31,"MU,ALK,NEM,UAL,TPR","MU:0.0518,ALK:0.0419,NEM:0.0395,UAL:0.0378,TPR:0.0319"
2019-03-31,"ALK,MU,TPR,GE,UAL","ALK:0.0737,MU:0.0518,TPR:0.0334,GE:0.0320,UAL:0.0310"
2019-04-30,"ALK,MU,TPR,GE,UAL","ALK:0.0737,MU:0.0518,TPR:0.0334,GE:0.0320,UAL:0.0310"
2019-05-31,"ALK,MU,TPR,GE,UAL","ALK:0.0737,MU:0.0430,TPR:0.0334,GE:0.0320,UAL:0.0310"
2019-06-30,"MU,TPR,NEM,GE,STX","MU:0.0430,TPR:0.0403,NEM:0.0307,GE:0.0293,STX:0.0281"
2019-07-31,"MU,TPR,NEM,GE,STX","MU:0.0430,TPR:0.0403,NEM:0.0307,GE:0.0293,STX:0.0281"
2019-08-31,"MU,TPR,NEM,GE,STX","MU:0.0481,TPR:0.0403,NEM:0.0307,GE:0.0293,STX:0.0281"
2019-09-30,"MU,WDC,NEM,STX,GE","MU:0.0481,WDC:0.0385,NEM:0.0316,STX:0.0291,GE:0.0270"
2019-10-31,"MU,WDC,NEM,STX,GE","MU:0.0481,WDC:0.0385,NEM:0.0316,STX:0.0291,GE:0.0270"
2019-11-30,"WDC,MU,NEM,STX,GE","WDC:0.0385,MU:0.0350,NEM:0.0316,STX:0.0291,GE:0.0270"
2019-12-31,"WDC,MU,NEM,CNC,DECK","WDC:0.0408,MU:0.0350,NEM:0.0312,CNC:0.0274,DECK:0.0241"
2020-01-31,"WDC,MU,NEM,CNC,DECK","WDC:0.0408,MU:0.0350,NEM:0.0312,CNC:0.0274,DECK:0.0241"
2020-02-29,"WDC,MU,NEM,CNC,DECK","WDC:0.0408,MU:0.0319,NEM:0.0312,CNC:0.0274,DECK:0.0241"
2020-03-31,"NEM,MU,STX,DECK,CNC","NEM:0.0355,MU:0.0319,STX:0.0272,DECK:0.0240,CNC:0.0227"
2020-04-30,"NEM,MU,STX,DECK,CNC","NEM:0.0355,MU:0.0319,STX:0.0272,DECK:0.0240,CNC:0.0227"
2020-05-31,"MU,NEM,STX,DECK,CNC","MU:0.0361,NEM:0.0355,STX:0.0272,DECK:0.0240,CNC:0.0227"
2020-06-30,"MU,NEM,CNC,WDC,HAS","MU:0.0361,NEM:0.0351,CNC:0.0212,WDC:0.0198,HAS:0.0185"
2020-07-31,"MU,NEM,CNC,WDC,HAS","MU:0.0361,NEM:0.0351,CNC:0.0212,WDC:0.0198,HAS:0.0185"
2020-08-31,"MU,NEM,CNC,WDC,HAS","MU:0.0487,NEM:0.0351,CNC:0.0212,WDC:0.0198,HAS:0.0185"
2020-09-30,"MU,NEM,LRCX,WDC,TPR","MU:0.0487,NEM:0.0419,LRCX:0.0252,WDC:0.0246,TPR:0.0229"
2020-10-31,"MU,NEM,LRCX,WDC,TPR","MU:0.0487,NEM:0.0419,LRCX:0.0252,WDC:0.0246,TPR:0.0229"
2020-11-30,"MU,NEM,LRCX,WDC,TPR","MU:0.0500,NEM:0.0419,LRCX:0.0252,WDC:0.0246,TPR:0.0229"
2020-12-31,"MU,NEM,SWKS,WDC,TPR","MU:0.0500,NEM:0.0373,SWKS:0.0346,WDC:0.0301,TPR:0.0262"
2021-01-31,"MU,NEM,SWKS,WDC,TPR","MU:0.0500,NEM:0.0373,SWKS:0.0346,WDC:0.0301,TPR:0.0262"
2021-03-31,"MU,TPR,NEM,STX,WDC","MU:0.0500,TPR:0.0389,NEM:0.0386,STX:0.0255,WDC:0.0239"
2021-04-30,"MU,TPR,NEM,STX,WDC","MU:0.0500,TPR:0.0389,NEM:0.0386,STX:0.0255,WDC:0.0239"
2021-05-31,"MU,TPR,NEM,STX,WDC","MU:0.0734,TPR:0.0389,NEM:0.0386,STX:0.0255,WDC:0.0239"
2021-06-30,"MU,TPR,SWKS,STX,NEM","MU:0.0734,TPR:0.0551,SWKS:0.0383,STX:0.0327,NEM:0.0289"
2021-07-31,"MU,TPR,SWKS,STX,NEM","MU:0.0734,TPR:0.0551,SWKS:0.0383,STX:0.0327,NEM:0.0289"
2021-08-31,"MU,TPR,SWKS,STX,NEM","MU:0.0778,TPR:0.0551,SWKS:0.0383,STX:0.0327,NEM:0.0289"
2021-09-30,"MU,TPR,NEM,SWKS,UAL","MU:0.0778,TPR:0.0516,NEM:0.0406,SWKS:0.0377,UAL:0.0369"
2021-10-31,"MU,TPR,NEM,SWKS,UAL","MU:0.0778,TPR:0.0516,NEM:0.0406,SWKS:0.0377,UAL:0.0369"
2021-11-30,"MU,TPR,NEM,SWKS,UAL","MU:0.0669,TPR:0.0516,NEM:0.0406,SWKS:0.0377,UAL:0.0369"
2021-12-31,"MU,WDC,UAL,SWKS,TPR","MU:0.0669,WDC:0.0580,UAL:0.0450,SWKS:0.0383,TPR:0.0345"
2022-01-31,"MU,WDC,UAL,SWKS,TPR","MU:0.0669,WDC:0.0580,UAL:0.0450,SWKS:0.0383,TPR:0.0345"
2022-03-31,"MU,UAL,ALK,SWKS,MMM","MU:0.0669,UAL:0.0487,ALK:0.0376,SWKS:0.0305,MMM:0.0276"
2022-04-30,"MU,UAL,ALK,SWKS,MMM","MU:0.0669,UAL:0.0487,ALK:0.0376,SWKS:0.0305,MMM:0.0276"
2022-05-31,"UAL,ALK,SWKS,MMM,TPR","UAL:0.0487,ALK:0.0376,SWKS:0.0305,MMM:0.0276,TPR:0.0273"
2022-06-30,"UAL,SWKS,NEM,ALK,TPR","UAL:0.0374,SWKS:0.0358,NEM:0.0339,ALK:0.0291,TPR:0.0286"
2022-07-31,"UAL,SWKS,NEM,ALK,TPR","UAL:0.0374,SWKS:0.0358,NEM:0.0339,ALK:0.0291,TPR:0.0286"
2022-08-31,"UAL,SWKS,NEM,ALK,TPR","UAL:0.0374,SWKS:0.0358,NEM:0.0339,ALK:0.0291,TPR:0.0286"
2022-09-30,"UAL,TPR,ALK,NEM,SWKS","UAL:0.0456,TPR:0.0433,ALK:0.0386,NEM:0.0363,SWKS:0.0246"
2022-10-31,"UAL,TPR,ALK,NEM,SWKS","UAL:0.0456,TPR:0.0433,ALK:0.0386,NEM:0.0363,SWKS:0.0246"
2022-11-30,"UAL,TPR,ALK,NEM,SWKS","UAL:0.0456,TPR:0.0433,ALK:0.0386,NEM:0.0363,SWKS:0.0246"
2022-12-31,"UAL,ALK,TPR,NEM,CNC","UAL:0.0494,ALK:0.0459,TPR:0.0371,NEM:0.0353,CNC:0.0230"
2023-01-31,"UAL,ALK,TPR,NEM,CNC","UAL:0.0494,ALK:0.0459,TPR:0.0371,NEM:0.0353,CNC:0.0230"
2023-03-31,"UAL,ALK,TPR,NEM,WDC","UAL:0.0524,ALK:0.0359,TPR:0.0358,NEM:0.0307,WDC:0.0199"
2023-04-30,"UAL,ALK,TPR,NEM,CSCO","UAL:0.0524,ALK:0.0359,TPR:0.0358,NEM:0.0307,CSCO:0.0213"
2023-05-31,"UAL,ALK,TPR,NEM,CSCO","UAL:0.0524,ALK:0.0359,TPR:0.0358,NEM:0.0307,CSCO:0.0213"
2023-06-30,"UAL,ALK,TPR,CNC,NEM","UAL:0.0562,ALK:0.0470,TPR:0.0367,CNC:0.0224,NEM:0.0216"
2023-07-31,"UAL,ALK,TPR,CNC,NEM","UAL:0.0562,ALK:0.0470,TPR:0.0367,CNC:0.0224,NEM:0.0216"
2023-08-31,"UAL,ALK,TPR,MU,CNC","UAL:0.0562,ALK:0.0470,TPR:0.0367,MU:0.0261,CNC:0.0224"
2023-09-30,"NEM,UAL,ALK,MU,WDC","NEM:0.0446,UAL:0.0379,ALK:0.0346,MU:0.0261,WDC:0.0199"
2023-10-31,"NEM,UAL,ALK,MU,WDC","NEM:0.0446,UAL:0.0379,ALK:0.0346,MU:0.0261,WDC:0.0199"
2023-11-30,"NEM,UAL,ALK,MU,WDC","NEM:0.0446,UAL:0.0379,ALK:0.0346,MU:0.0316,WDC:0.0199"
2023-12-31,"NEM,UAL,MU,TPR,CNC","NEM:0.0515,UAL:0.0349,MU:0.0316,TPR:0.0245,CNC:0.0238"
2024-01-31,"NEM,UAL,MU,TPR,CNC","NEM:0.0515,UAL:0.0349,MU:0.0316,TPR:0.0245,CNC:0.0238"
2024-02-29,"NEM,MU,UAL,TPR,CNC","NEM:0.0515,MU:0.0351,UAL:0.0349,TPR:0.0245,CNC:0.0238"
2024-03-31,"NEM,UAL,ALK,MU,SWKS","NEM:0.0437,UAL:0.0417,ALK:0.0353,MU:0.0351,SWKS:0.0280"
2024-04-30,"NEM,UAL,ALK,MU,SWKS","NEM:0.0437,UAL:0.0417,ALK:0.0353,MU:0.0351,SWKS:0.0280"
2024-05-31,"NEM,UAL,ALK,MU,SWKS","NEM:0.0437,UAL:0.0417,ALK:0.0353,MU:0.0347,SWKS:0.0280"
2024-06-30,"NEM,UAL,ALK,MU,SWKS","NEM:0.0432,UAL:0.0371,ALK:0.0355,MU:0.0347,SWKS:0.0265"
2024-07-31,"NEM,UAL,ALK,MU,SWKS","NEM:0.0432,UAL:0.0371,ALK:0.0355,MU:0.0347,SWKS:0.0265"
