date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,WDC_shares,WDC_value,AAPL_shares,AAPL_value,MKC_shares,MKC_value,ORCL_shares,ORCL_value,NKE_shares,NKE_value,PAYX_shares,PAYX_value,FFIV_shares,FFIV_value,GEN_shares,GEN_value,EQIX_shares,EQIX_value,EA_shares,EA_value,EOG_shares,EOG_value,VLO_shares,VLO_value,TRV_shares,TRV_value,MNST_shares,MNST_value,DE_shares,DE_value,CTSH_shares,CTSH_value,FCX_shares,FCX_value,CHRW_shares,CHRW_value,CSGP_shares,CSGP_value,EBAY_shares,EBAY_value,COP_shares,COP_value,GLW_shares,GLW_value,DECK_shares,DECK_value,CTRA_shares,CTRA_value,RMD_shares,RMD_value,GILD_shares,GILD_value,CVX_shares,CVX_value,MU_shares,MU_value,JBL_shares,JBL_value,F_shares,F_value,AES_shares,AES_value,LRCX_shares,LRCX_value,HOLX_shares,HOLX_value,EMN_shares,EMN_value,J_shares,J_value,PWR_shares,PWR_value,GRMN_shares,GRMN_value,DVN_shares,DVN_value,CMI_shares,CMI_value,HAS_shares,HAS_value,MGM_shares,MGM_value,DD_shares,DD_value,MOH_shares,MOH_value,ACN_shares,ACN_value,JBHT_shares,JBHT_value,ALGN_shares,ALGN_value,FAST_shares,FAST_value,EXPD_shares,EXPD_value,NUE_shares,NUE_value,NVR_shares,NVR_value,NDSN_shares,NDSN_value,ROST_shares,ROST_value,SWKS_shares,SWKS_value,BKNG_shares,BKNG_value,AXON_shares,AXON_value,FDX_shares,FDX_value,SJM_shares,SJM_value,T_shares,T_value,DLTR_shares,DLTR_value,NVDA_shares,NVDA_value,NEM_shares,NEM_value,MOS_shares,MOS_value,ISRG_shares,ISRG_value,GE_shares,GE_value,LVS_shares,LVS_value,CMG_shares,CMG_value,AMP_shares,AMP_value,SBUX_shares,SBUX_value,TECH_shares,TECH_value,TPR_shares,TPR_value,A_shares,A_value,BIIB_shares,BIIB_value,LULU_shares,LULU_value,CNC_shares,CNC_value,FSLR_shares,FSLR_value,PCAR_shares,PCAR_value,PRU_shares,PRU_value,TXT_shares,TXT_value,SYY_shares,SYY_value,APA_shares,APA_value,TSCO_shares,TSCO_value,SMCI_shares,SMCI_value,ULTA_shares,ULTA_value,LUV_shares,LUV_value,ABT_shares,ABT_value,DXCM_shares,DXCM_value,AOS_shares,AOS_value,XOM_shares,XOM_value,FTNT_shares,FTNT_value,HAL_shares,HAL_value,EW_shares,EW_value,TSLA_shares,TSLA_value,GOOGL_shares,GOOGL_value,ALB_shares,ALB_value,AMAT_shares,AMAT_value,CPRT_shares,CPRT_value,TTWO_shares,TTWO_value,MPWR_shares,MPWR_value,COO_shares,COO_value,STLD_shares,STLD_value,RCL_shares,RCL_value,EPAM_shares,EPAM_value,ANET_shares,ANET_value,ENPH_shares,ENPH_value,AMD_shares,AMD_value,ACGL_shares,ACGL_value,TER_shares,TER_value,KLAC_shares,KLAC_value,GNRC_shares,GNRC_value,TTD_shares,TTD_value,OXY_shares,OXY_value,FANG_shares,FANG_value,CF_shares,CF_value,PSX_shares,PSX_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2005-09-30,100.0,0.3955516732980741,10.0,0.1201201201201201,10.0,0.39790609929711,10.0,0.2997016177169496,10.0,0.3418490892444108,10.0,1.278964666237286,10.0,0.6567905719645603,10.0,0.3500972755825433,10.0,0.4457773764206343,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2005-10-31,99.67259852824436,0.3955516732980741,10.455693803555926,0.1201201201201201,9.717717901006475,0.39790609929711,10.186598173339242,0.2997016177169496,9.937976408146811,0.3418490892444108,11.225339584605056,1.278964666237286,9.87576097303556,0.6567905719645603,10.67500524580101,0.3500972755825433,9.951761193870386,0.4457773764206343,9.053844558640964,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2005-11-30,106.40369025109698,0.3955516732980741,10.513233064259492,0.1201201201201201,10.697897604635886,0.39790609929711,11.102609907853372,0.2997016177169496,10.902365461876316,0.3418490892444108,11.592016496764064,1.278964666237286,10.89403518135923,0.6567905719645603,11.860615152378774,0.3500972755825433,10.987512599750458,0.4457773764206343,9.084616910492263,,,0.970359919382833,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2005-12-31,109.11387666176844,0.3955516732980741,10.200733300026664,0.1201201201201201,11.02102102102102,0.39790609929711,10.007077168228044,0.2997016177169496,10.74849148257432,0.3418490892444108,11.507485316714163,1.278964666237286,10.019488008456046,0.6567905719645603,12.888228422532828,0.3500972755825433,11.69541707970254,0.4457773764206343,10.08845860803232,,,,,5.067994429037683,10.93747625448048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2006-01-31,112.34870018842614,0.3955516732980741,9.974868351384671,0.1201201201201201,11.74174174174174,0.39790609929711,11.680962925960143,0.2997016177169496,10.404746495102856,0.3418490892444108,11.60518871375342,1.278964666237286,10.377592894619058,0.6567905719645603,13.478274867445654,0.3500972755825433,11.331712240563666,0.4457773764206343,10.26538347637279,,,,,5.067994429037683,11.488228481482135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2006-03-31,112.88740573438142,,,,,0.39790609929711,12.896103223894889,0.2997016177169496,9.56812311381731,,,1.278964666237286,10.470132728858468,0.6567905719645603,13.600929524620812,,,0.4457773764206343,9.63461573289204,0.6942166570459318,11.343500282059582,,,,,1.0020966229934016,11.343500282059582,1.0318209314747009,11.34350028205958,1.370512704311776,11.343500282059582,0.5188834554359101,11.343500282059582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2006-04-30,113.46372909365368,,,,,0.39790609929711,13.064422191145928,0.2997016177169496,9.457029761514825,,,1.278964666237286,10.312906489333006,0.6567905719645603,13.126902033491698,,,0.4457773764206343,9.500000297588503,0.6942166570459318,12.256395556826677,,,,,1.0020966229934016,11.73024713863086,1.0318209314747009,12.089240688971527,1.370512704311776,10.928883906053274,0.5188834554359101,10.997701030097373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2006-05-31,107.18835572643457,,,,,,,,,,,1.278964666237286,10.40625743454868,0.6567905719645603,11.796192331421878,,,,,,,0.8509692310566228,10.488568110765744,,,,,1.0318209314747009,11.782661036406148,1.370512704311776,10.72456683965105,0.5188834554359101,10.035837530578096,0.4323399839988036,10.488568110765744,1.8624033583553468,10.488568110765744,0.2407164844598932,10.488568110765744,0.2558942557923804,10.488568110765744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
2006-06-30,109.195165606755,,,,,,,,,,,1.278964666237286,9.767534374486766,0.6567905719645603,13.125395000986522,,,,,,,,,,,,,1.0318209314747009,12.006383158479734,1.370512704311776,10.81671390521715,0.5188834554359101,10.656409823597793,,,,,,,,,0.4334788987081683,10.564545868797415,0.3067057077372605,10.564545868797415,0.3745507174596671,10.564545868797415,2.6637503479564133,10.564545868797415,0.3672431659680694,10.564545868797415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87
