date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,SYY_shares,SYY_value,AAPL_shares,AAPL_value,EL_shares,EL_value,WDC_shares,WDC_value,RMD_shares,RMD_value,JKHY_shares,JKHY_value,NKE_shares,NKE_value,MU_shares,MU_value,PAYX_shares,PAYX_value,ORCL_shares,ORCL_value,TRV_shares,TRV_value,CVX_shares,CVX_value,DE_shares,DE_value,ACN_shares,ACN_value,GPN_shares,GPN_value,KR_shares,KR_value,HRL_shares,HRL_value,COP_shares,COP_value,AES_shares,AES_value,KLAC_shares,KLAC_value,ADP_shares,ADP_value,ADM_shares,ADM_value,TJX_shares,TJX_value,NVDA_shares,NVDA_value,CSCO_shares,CSCO_value,F_shares,F_value,STLD_shares,STLD_value,TTWO_shares,TTWO_value,DECK_shares,DECK_value,GWW_shares,GWW_value,GPC_shares,GPC_value,DD_shares,DD_value,CMI_shares,CMI_value,EMN_shares,EMN_value,VLO_shares,VLO_value,VZ_shares,VZ_value,DVN_shares,DVN_value,CTRA_shares,CTRA_value,TGT_shares,TGT_value,XOM_shares,XOM_value,WSM_shares,WSM_value,EBAY_shares,EBAY_value,FCX_shares,FCX_value,URI_shares,URI_value,EOG_shares,EOG_value,NVR_shares,NVR_value,HAS_shares,HAS_value,CHRW_shares,CHRW_value,GRMN_shares,GRMN_value,FDX_shares,FDX_value,MRK_shares,MRK_value,DLTR_shares,DLTR_value,CSGP_shares,CSGP_value,FAST_shares,FAST_value,ALGN_shares,ALGN_value,EXPD_shares,EXPD_value,AXON_shares,AXON_value,CTSH_shares,CTSH_value,ROST_shares,ROST_value,MGM_shares,MGM_value,PWR_shares,PWR_value,VRSN_shares,VRSN_value,DHI_shares,DHI_value,IP_shares,IP_value,LRCX_shares,LRCX_value,GE_shares,GE_value,GLW_shares,GLW_value,TXT_shares,TXT_value,LUV_shares,LUV_value,FSLR_shares,FSLR_value,SBUX_shares,SBUX_value,PHM_shares,PHM_value,LEN_shares,LEN_value,PCAR_shares,PCAR_value,PRU_shares,PRU_value,APA_shares,APA_value,SMCI_shares,SMCI_value,EW_shares,EW_value,MOS_shares,MOS_value,JBHT_shares,JBHT_value,CHD_shares,CHD_value,ABT_shares,ABT_value,RCL_shares,RCL_value,WST_shares,WST_value,ULTA_shares,ULTA_value,NEM_shares,NEM_value,MHK_shares,MHK_value,VMC_shares,VMC_value,BAX_shares,BAX_value,WMT_shares,WMT_value,LULU_shares,LULU_value,AOS_shares,AOS_value,AMP_shares,AMP_value,ISRG_shares,ISRG_value,AMAT_shares,AMAT_value,RL_shares,RL_value,SWKS_shares,SWKS_value,ALB_shares,ALB_value,ENPH_shares,ENPH_value,PSX_shares,PSX_value,EPAM_shares,EPAM_value,NCLH_shares,NCLH_value,FANG_shares,FANG_value,AMD_shares,AMD_value,NUE_shares,NUE_value,ACGL_shares,ACGL_value,CF_shares,CF_value,OXY_shares,OXY_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2005-09-30,100.0,0.395551553927744,10.0,0.1201201201201201,10.0,0.3979061898938621,10.0,0.2997015491889352,10.0,0.3418491115338409,10.0,1.2789647442359584,10.0,0.656790654242604,10.0,0.3500974392286916,10.0,0.445777452225346,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2005-10-31,99.67261480632033,0.395551553927744,10.455695174945223,0.1201201201201201,9.717717901006475,0.3979061898938621,10.186601251607922,0.2997015491889352,9.937975279058085,0.3418491115338409,11.22534422867836,1.2789647442359584,9.87576157531666,0.656790654242604,10.675006583089615,0.3500974392286916,9.951765177869328,0.445777452225346,9.053846948505702,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2005-11-30,106.40368335486824,0.395551553927744,10.513228382646757,0.1201201201201201,10.697897604635886,0.3979061898938621,11.102614712574692,0.2997015491889352,10.90236296900536,0.3418491115338409,11.59201203638954,1.2789647442359584,10.894033406308932,0.656790654242604,11.8606178909209,0.3500974392286916,10.987511725828233,0.445777452225346,9.08461675483082,,,0.479227845022469,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2005-12-31,106.60065120014642,0.395551553927744,10.200733993903704,0.1201201201201201,11.02102102102102,0.3979061898938621,10.0070855182435,0.2997015491889352,10.748486738345928,0.3418491115338409,11.507501715641927,1.2789647442359584,10.019488009644537,0.656790654242604,12.888230037078266,0.3500974392286916,11.695419875465827,0.445777452225346,10.088461173833805,,,0.479227845022469,8.424223116967891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2006-01-31,109.1843141575268,0.395551553927744,9.97486307778594,0.1201201201201201,11.74174174174174,0.3979061898938621,11.680968621308876,0.2997015491889352,10.404742972743856,0.3418491115338409,11.6051868623395,1.2789647442359584,10.377592307788946,0.656790654242604,13.478280314094176,0.3500974392286916,11.331717537351704,,,,,0.479227845022469,8.323838901376647,4.528541052275504,10.265381820995383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2006-03-31,110.98042781373016,0.395551553927744,9.95472819033625,0.1201201201201201,11.974775068036786,0.3979061898938621,12.896104642236352,0.2997015491889352,9.568119211120363,,,1.2789647442359584,10.470129708240314,0.656790654242604,13.60092997571961,,,,,,,,,,,0.7290994761861123,10.628910254510114,0.9031876666980984,10.628910254510114,0.5802591157990631,10.628910254510114,0.596038691159827,10.628910254510114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2006-04-30,109.86403134073248,0.395551553927744,9.677758056331513,0.1201201201201201,11.244444517759948,0.3979061898938621,13.06442212991923,0.2997015491889352,9.457028170761197,,,1.2789647442359584,10.3129083379896,0.656790654242604,13.12690493066522,,,,,,,,,,,0.7290994761861123,10.608901627069915,0.9031876666980984,11.50963830129592,0.5802591157990631,10.428316185137934,0.596038691159827,10.433709083802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2006-05-31,105.3089915155078,,,,,,,,,0.2809352765406931,10.142085631038212,1.2789647442359584,10.406260508614182,0.656790654242604,11.796197567351085,0.2778977144546283,10.142085631038212,,,,,,,,,0.7290994761861123,11.70065260834548,0.9031876666980984,11.132183178002894,0.5802591157990631,10.98658626416199,0.596038691159827,8.718768864879335,1.296076248708192,10.142085631038212,0.6270538244087055,10.142085631038212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
2006-06-30,106.4111492756824,,,,,,,,,0.2809352765406931,10.972020547455132,1.2789647442359584,9.76753801945715,0.656790654242604,13.125385370683691,,,,,,,,,,,,,,,0.5802591157990631,11.346686070398183,,,1.296076248708192,10.229222364384372,,,0.4963707126907562,10.19405938066077,0.8760710506148869,10.19405938066077,0.3614157518033939,10.19405938066077,0.3443565930716799,10.19405938066077,0.354364440475628,10.19405938066077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
