date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,WDC_shares,WDC_value,AAPL_shares,AAPL_value,ORCL_shares,ORCL_value,MKC_shares,MKC_value,NKE_shares,NKE_value,PAYX_shares,PAYX_value,EA_shares,EA_value,MU_shares,MU_value,DECK_shares,DECK_value,CVX_shares,CVX_value,WSM_shares,WSM_value,EBAY_shares,EBAY_value,CTRA_shares,CTRA_value,CPRT_shares,CPRT_value,CSGP_shares,CSGP_value,GWW_shares,GWW_value,ZBH_shares,ZBH_value,WAT_shares,WAT_value,FAST_shares,FAST_value,GEN_shares,GEN_value,EOG_shares,EOG_value,CTSH_shares,CTSH_value,ISRG_shares,ISRG_value,FCX_shares,FCX_value,SYY_shares,SYY_value,ADP_shares,ADP_value,FFIV_shares,FFIV_value,EMR_shares,EMR_value,COP_shares,COP_value,QCOM_shares,QCOM_value,CHRW_shares,CHRW_value,XOM_shares,XOM_value,DVN_shares,DVN_value,ADSK_shares,ADSK_value,GLW_shares,GLW_value,TECH_shares,TECH_value,NFLX_shares,NFLX_value,VLO_shares,VLO_value,GRMN_shares,GRMN_value,LHX_shares,LHX_value,CMI_shares,CMI_value,EQIX_shares,EQIX_value,LRCX_shares,LRCX_value,RMD_shares,RMD_value,NVR_shares,NVR_value,VZ_shares,VZ_value,EXPD_shares,EXPD_value,GILD_shares,GILD_value,FDX_shares,FDX_value,BMY_shares,BMY_value,PWR_shares,PWR_value,J_shares,J_value,AXON_shares,AXON_value,GOOGL_shares,GOOGL_value,MOS_shares,MOS_value,ALGN_shares,ALGN_value,HRL_shares,HRL_value,SLB_shares,SLB_value,JBHT_shares,JBHT_value,EMN_shares,EMN_value,NEM_shares,NEM_value,ROST_shares,ROST_value,TSCO_shares,TSCO_value,CHD_shares,CHD_value,AMAT_shares,AMAT_value,TJX_shares,TJX_value,TER_shares,TER_value,A_shares,A_value,TXT_shares,TXT_value,CRM_shares,CRM_value,EW_shares,EW_value,CMG_shares,CMG_value,ULTA_shares,ULTA_value,EL_shares,EL_value,LULU_shares,LULU_value,KLAC_shares,KLAC_value,DHR_shares,DHR_value,DLTR_shares,DLTR_value,LUV_shares,LUV_value,FSLR_shares,FSLR_value,JKHY_shares,JKHY_value,PCAR_shares,PCAR_value,VMC_shares,VMC_value,HUBB_shares,HUBB_value,MHK_shares,MHK_value,RL_shares,RL_value,WST_shares,WST_value,BKNG_shares,BKNG_value,TYL_shares,TYL_value,SWKS_shares,SWKS_value,HII_shares,HII_value,ON_shares,ON_value,INTC_shares,INTC_value,AKAM_shares,AKAM_value,MCO_shares,MCO_value,MNST_shares,MNST_value,DXCM_shares,DXCM_value,MPWR_shares,MPWR_value,MLM_shares,MLM_value,GE_shares,GE_value,EPAM_shares,EPAM_value,AMP_shares,AMP_value,SBUX_shares,SBUX_value,GD_shares,GD_value,SMCI_shares,SMCI_value,META_shares,META_value,ACN_shares,ACN_value,BIIB_shares,BIIB_value,PSA_shares,PSA_value,IFF_shares,IFF_value,TXN_shares,TXN_value,NVDA_shares,NVDA_value,TRV_shares,TRV_value,IDXX_shares,IDXX_value,AMD_shares,AMD_value,STLD_shares,STLD_value,AOS_shares,AOS_value,ANET_shares,ANET_value,REGN_shares,REGN_value,ADBE_shares,ADBE_value,TDY_shares,TDY_value,TKO_shares,TKO_value,XYZ_shares,XYZ_value,CLX_shares,CLX_value,PAYC_shares,PAYC_value,NOW_shares,NOW_value,LII_shares,LII_value,TTWO_shares,TTWO_value,TTD_shares,TTD_value,SPGI_shares,SPGI_value,TGT_shares,TGT_value,PODD_shares,PODD_value,VRTX_shares,VRTX_value,FTNT_shares,FTNT_value,TSLA_shares,TSLA_value,OXY_shares,OXY_value,DE_shares,DE_value,INCY_shares,INCY_value,CF_shares,CF_value,NUE_shares,NUE_value,WY_shares,WY_value,FANG_shares,FANG_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2005-09-30,100.0,0.3955517031406679,10.0,0.1201201201201201,10.0,0.3979060690982018,10.0,0.2997015491889352,10.0,0.3418490446655592,10.0,1.2789641982454518,10.0,0.6567905719645603,10.0,0.3500972288265291,10.0,0.4457773764206343,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2005-10-31,99.67259166174836,0.3955517031406679,10.455693837935971,0.1201201201201201,9.717717901006475,0.3979060690982018,10.186600436014244,0.2997015491889352,9.937974135787403,0.3418490446655592,11.225338120763954,1.2789641982454518,9.875761018496435,0.6567905719645603,10.67500274034381,0.3500972288265291,9.951756526010456,0.4457773764206343,9.0538462591467,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2005-11-30,106.40368487772376,0.3955517031406679,10.51323461189062,0.1201201201201201,10.697897604635886,0.3979060690982018,11.102608306280086,0.2997015491889352,10.90236525554672,0.3418490446655592,11.59201368105582,1.2789641982454518,10.89403119507279,0.6567905719645603,11.860615152378774,0.3500972288265291,10.987515138896558,0.4457773764206343,9.084616060239394,,,0.9703598169766504,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2005-12-31,109.11387773207484,0.3955517031406679,10.200736332991086,0.1201201201201201,11.02102102102102,0.3979060690982018,10.007080962418913,0.2997015491889352,10.748487881616608,0.3418490446655592,11.507494248484758,1.2789641982454518,10.019485561894484,0.6567905719645603,12.888227169804228,0.3500972288265291,11.695412846732232,0.4457773764206343,10.08846030853806,,,,,5.067992738882361,10.937471398573456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2006-01-31,112.34868923798244,0.3955517031406679,9.974872876218605,0.1201201201201201,11.74174174174174,0.3979060690982018,11.680967352057786,0.2997015491889352,10.404744116014536,0.3418490446655592,11.605189808479302,1.2789641982454518,10.377586657875773,0.6567905719645603,13.478274867445654,0.3500972288265291,11.33170404962186,0.4457773764206343,10.26538432662566,,,,,5.067992738882361,11.488223441901503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2006-03-31,112.8873864903384,0.3955517031406679,9.95473269998848,,,0.3979060690982018,12.896100727259618,0.2997015491889352,9.568119782755703,,,1.2789641982454518,10.470128897684122,0.6567905719645603,13.600923260977815,,,0.4457773764206343,9.6346140323863,0.715464606067953,11.690691772321587,,,,,1.0634018713578606,11.690691772321587,1.0327684897189189,11.690691772321587,1.4124605929489398,11.690691772321587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2006-04-30,113.58247334918468,0.3955517031406679,9.677764724867991,,,0.3979060690982018,13.064416645953775,0.2997015491889352,9.457029885667216,,,1.2789641982454518,10.31290515512065,0.6567905719645603,13.1268970225773,,,0.4457773764206343,9.500001998094245,0.715464606067953,12.631528111400268,,,,,1.0634018713578606,12.459252996878575,1.0327684897189189,12.089280982931356,1.4124605929489398,11.263395825693298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2006-05-31,107.90526062987536,,,,,,,,,,,1.2789641982454518,10.406253626747237,0.6567905719645603,11.796192331421878,0.2683178768828708,9.792460222782855,,,0.715464606067953,11.379464368461132,,,,,1.0634018713578606,12.14329493258266,1.0327684897189189,11.957390690105877,1.4124605929489398,11.052823789425204,0.5063003548573535,9.792460222782855,0.2389110024001705,9.792460222782855,0.6054375654524562,9.792460222782855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
2006-06-30,110.39380467030756,,,,,,,,,,,1.2789641982454518,9.767530190545756,0.6567905719645603,13.125388737343526,,,,,,,,,,,1.0634018713578606,12.373860460360408,,,1.4124605929489398,11.147787199909528,0.5063003548573535,10.397986323340945,0.2389110024001705,10.01824380636523,,,5.083857954947784,10.89075198811054,0.3678909796584926,10.89075198811054,1.0002175783537028,10.89075198811054,0.9861073767758796,10.89075198811054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
