date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,ADP_shares,ADP_value,AAPL_shares,AAPL_value,MKC_shares,MKC_value,NKE_shares,NKE_value,JBL_shares,JBL_value,ORCL_shares,ORCL_value,GWW_shares,GWW_value,COP_shares,COP_value,CVX_shares,CVX_value,EA_shares,EA_value,PAYX_shares,PAYX_value,TRV_shares,TRV_value,XOM_shares,XOM_value,DE_shares,DE_value,GPC_shares,GPC_value,TECH_shares,TECH_value,EOG_shares,EOG_value,RMD_shares,RMD_value,SYY_shares,SYY_value,ADM_shares,ADM_value,AES_shares,AES_value,WDC_shares,WDC_value,CTRA_shares,CTRA_value,MU_shares,MU_value,F_shares,F_value,KLAC_shares,KLAC_value,CMI_shares,CMI_value,VLO_shares,VLO_value,DD_shares,DD_value,HAS_shares,HAS_value,FCX_shares,FCX_value,EMN_shares,EMN_value,UNH_shares,UNH_value,BG_shares,BG_value,DVN_shares,DVN_value,URI_shares,URI_value,HUM_shares,HUM_value,NVR_shares,NVR_value,MOH_shares,MOH_value,LHX_shares,LHX_value,MNST_shares,MNST_value,VZ_shares,VZ_value,PKG_shares,PKG_value,TTWO_shares,TTWO_value,ADI_shares,ADI_value,FDX_shares,FDX_value,CHRW_shares,CHRW_value,CSGP_shares,CSGP_value,GRMN_shares,GRMN_value,DECK_shares,DECK_value,FAST_shares,FAST_value,AXON_shares,AXON_value,TXN_shares,TXN_value,EBAY_shares,EBAY_value,GLW_shares,GLW_value,WMB_shares,WMB_value,ICE_shares,ICE_value,WSM_shares,WSM_value,LRCX_shares,LRCX_value,SPGI_shares,SPGI_value,AMAT_shares,AMAT_value,AMP_shares,AMP_value,GE_shares,GE_value,EXPD_shares,EXPD_value,HRL_shares,HRL_value,PCAR_shares,PCAR_value,FSLR_shares,FSLR_value,PRU_shares,PRU_value,DHR_shares,DHR_value,TXT_shares,TXT_value,APA_shares,APA_value,LUV_shares,LUV_value,SMCI_shares,SMCI_value,PWR_shares,PWR_value,ABT_shares,ABT_value,MOS_shares,MOS_value,JBHT_shares,JBHT_value,J_shares,J_value,NEM_shares,NEM_value,ALB_shares,ALB_value,PSX_shares,PSX_value,QCOM_shares,QCOM_value,SWKS_shares,SWKS_value,RL_shares,RL_value,STLD_shares,STLD_value,NWSA_shares,NWSA_value,UAL_shares,UAL_value,NCLH_shares,NCLH_value,RCL_shares,RCL_value,ACGL_shares,ACGL_value,CF_shares,CF_value,PHM_shares,PHM_value,IP_shares,IP_value,FANG_shares,FANG_value,DHI_shares,DHI_value,OXY_shares,OXY_value,NUE_shares,NUE_value,EPAM_shares,EPAM_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2005-09-30,100.0,0.3955517031406679,10.0,0.1201201201201201,10.0,0.3979061596949402,10.0,0.2997016177169496,10.0,0.3418491784021488,10.0,1.278964276244067,10.0,0.6567906131035796,10.0,0.3500972755825433,10.0,0.4457774143229869,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2005-10-31,99.67260825523728,0.3955517031406679,10.455691574570974,0.1201201201201201,9.717717901006475,0.3979061596949402,10.186602755337438,0.2997016177169496,9.937975264875869,0.3418491784021488,11.225350336595158,1.278964276244067,9.87576406020808,0.6567906131035796,10.675007167173948,0.3500972755825433,9.951753180779669,0.4457774143229869,9.05384532844676,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2005-11-30,106.40369333467612,0.3955517031406679,10.513233102980616,0.1201201201201201,10.697897604635886,0.3979061596949402,11.102613869946447,0.2997016177169496,10.90236317533443,0.3418491784021488,11.592018216029372,1.278964276244067,10.89403307916904,0.6567906131035796,11.860619653471446,0.3500972755825433,10.987509928720218,0.4457774143229869,9.084616832661547,,,0.3776267985577959,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2005-12-31,106.73998633315593,0.3955517031406679,10.200736332991086,0.1201201201201201,11.02102102102102,0.3979061596949402,10.00708627665152,0.2997016177169496,10.74849148257432,0.3418491784021488,11.507497446341883,1.278964276244067,10.019488002513588,0.6567906131035796,12.888231735262853,0.3500972755825433,11.695409066611822,0.4457774143229869,10.088460316059424,,,0.3776267985577959,8.563564653128413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2006-01-31,109.0907596004258,0.3955517031406679,9.974869858398604,0.1201201201201201,11.74174174174174,0.3979061596949402,11.680970011624014,0.2997016177169496,10.404747638373795,0.3418491784021488,11.60518913240305,1.278964276244067,10.377586071045494,0.6567906131035796,13.478279469862764,0.3500972755825433,11.331706898503189,,,,,0.3776267985577959,8.230281028271351,4.528543667926355,10.265387750201809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2006-03-31,110.7932784300642,0.3955517031406679,9.95473420889848,,,0.3979061596949402,12.896102145600407,0.2997016177169496,9.568124828723722,0.3418491784021488,12.627940781995123,1.278964276244067,10.470125877066838,0.6567906131035796,13.600925365619826,,,0.4820617472860037,10.418831305539957,0.6376273689256879,10.418831305539957,,,,,0.920410480611903,10.418831305539957,1.2587946421053604,10.418831305539957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2006-04-30,110.67253429778656,0.3955517031406679,9.67776321595799,,,0.3979061596949402,13.06442265629198,0.2997016177169496,9.457028046608412,0.3418491784021488,12.6908873298523,1.278964276244067,10.312900905199571,0.6567906131035796,13.126901602985352,,,0.4820617472860037,10.273258749850507,0.6376273689256879,11.257311636206987,,,,,0.920410480611903,10.774054156499153,1.2587946421053604,10.0380059983343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2006-05-31,105.1350246578744,,,,,,,,,,,1.278964276244067,10.406255481095997,0.6567906131035796,11.79619181756462,,,,,,,,,,,,,1.2587946421053604,9.850349947206576,0.3863676006696414,10.440318201715316,0.9142706064295892,10.440318201715316,0.2006181843889214,10.440318201715316,0.4160528156905699,10.440318201715316,0.3692113937505346,10.440318201715316,0.2547170813260358,10.440318201715314,0.5397963948781065,10.440318201715318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
2006-06-30,105.64937457161736,,,,,,,,,,,1.278964276244067,9.767532005941478,0.6567906131035796,13.125392064928429,,,,,,,,,,,,,1.2587946421053604,9.934981394692636,0.3863676006696414,7.689911155849604,0.9142706064295892,10.638549266170704,,,0.4160528156905699,10.871446234347095,0.3692113937505346,10.929836955727668,,,0.5397963948781065,11.085900844198823,0.3830017854310789,10.80291232488047,0.341012576162532,10.80291232488047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24
