date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,SYY_shares,SYY_value,ADP_shares,ADP_value,NKE_shares,NKE_value,MKC_shares,MKC_value,ORCL_shares,ORCL_value,PAYX_shares,PAYX_value,GPC_shares,GPC_value,GWW_shares,GWW_value,EA_shares,EA_value,EL_shares,EL_value,CVX_shares,CVX_value,TRV_shares,TRV_value,TXN_shares,TXN_value,NVDA_shares,NVDA_value,KLAC_shares,KLAC_value,COP_shares,COP_value,WDC_shares,WDC_value,ADM_shares,ADM_value,RMD_shares,RMD_value,CPRT_shares,CPRT_value,WSM_shares,WSM_value,JBL_shares,JBL_value,MU_shares,MU_value,DECK_shares,DECK_value,EMN_shares,EMN_value,CMI_shares,CMI_value,HAS_shares,HAS_value,FAST_shares,FAST_value,F_shares,F_value,NVR_shares,NVR_value,XOM_shares,XOM_value,TER_shares,TER_value,VLO_shares,VLO_value,CTRA_shares,CTRA_value,DE_shares,DE_value,BG_shares,BG_value,CSGP_shares,CSGP_value,DD_shares,DD_value,URI_shares,URI_value,FCX_shares,FCX_value,TXT_shares,TXT_value,DVN_shares,DVN_value,LHX_shares,LHX_value,GRMN_shares,GRMN_value,BMY_shares,BMY_value,EBAY_shares,EBAY_value,CTSH_shares,CTSH_value,SWKS_shares,SWKS_value,AES_shares,AES_value,RL_shares,RL_value,TTWO_shares,TTWO_value,AXON_shares,AXON_value,FDX_shares,FDX_value,J_shares,J_value,PWR_shares,PWR_value,MRK_shares,MRK_value,GLW_shares,GLW_value,HRL_shares,HRL_value,DLTR_shares,DLTR_value,INTC_shares,INTC_value,ALGN_shares,ALGN_value,DHI_shares,DHI_value,ICE_shares,ICE_value,LRCX_shares,LRCX_value,AMAT_shares,AMAT_value,MPWR_shares,MPWR_value,SMCI_shares,SMCI_value,EXPD_shares,EXPD_value,VZ_shares,VZ_value,LEN_shares,LEN_value,FSLR_shares,FSLR_value,PHM_shares,PHM_value,PRU_shares,PRU_value,KDP_shares,KDP_value,EOG_shares,EOG_value,LULU_shares,LULU_value,PCAR_shares,PCAR_value,TPR_shares,TPR_value,LUV_shares,LUV_value,FFIV_shares,FFIV_value,AMP_shares,AMP_value,NEM_shares,NEM_value,GE_shares,GE_value,STLD_shares,STLD_value,WMT_shares,WMT_value,ALB_shares,ALB_value,NWSA_shares,NWSA_value,QCOM_shares,QCOM_value,BA_shares,BA_value,RCL_shares,RCL_value,UAL_shares,UAL_value,PSX_shares,PSX_value,MHK_shares,MHK_value,MOS_shares,MOS_value,NUE_shares,NUE_value,CF_shares,CF_value,APA_shares,APA_value,FANG_shares,FANG_value,INCY_shares,INCY_value,OXY_shares,OXY_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2005-09-30,100.0,0.3955517926684762,10.0,0.1201201201201201,10.0,0.3979060087003992,10.0,0.2997015834529385,10.0,0.3418489777973038,10.0,1.2789641982454518,10.0,0.6567906953816335,10.0,0.3500972288265291,10.0,0.4457774143229869,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2005-10-31,99.67259281827673,0.3955517926684762,10.455697713352,0.1201201201201201,9.717717901006475,0.3979060087003992,10.18659888979937,0.2997015834529385,9.937972985425356,0.3418489777973038,11.225338533103743,1.2789641982454518,9.875759188923473,0.6567906953816335,10.675007251734042,0.3500972288265291,9.951755190495517,0.4457774143229869,9.05384447819382,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2005-11-30,106.40367441604316,0.3955517926684762,10.513233219144029,0.1201201201201201,10.697897604635886,0.3979060087003992,11.10260965680713,0.2997015834529385,10.902363072169884,0.3418489777973038,11.592010109520018,1.2789641982454518,10.894027535926869,0.6567906953816335,11.860617381098963,0.3500972288265291,10.987511132351734,0.4457774143229869,9.084616832661547,,,0.4792280947950937,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2005-12-31,106.60063559414525,0.3955517926684762,10.200737132880228,0.1201201201201201,11.02102102102102,0.3979060087003992,10.007077166616693,0.2997015834529385,10.748487967189044,0.3418489777973038,11.50748417322979,1.2789641982454518,10.019491050613368,0.6567906953816335,12.88823209707997,0.3500972288265291,11.695412846732232,0.4457774143229869,10.08846371707119,,,,,0.3714827503029909,8.424228421711717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2006-01-31,108.95683520139774,0.3955517926684762,9.974875888352102,0.1201201201201201,11.74174174174174,0.3979060087003992,11.680964820068828,0.2997015834529385,10.404744162287749,0.3418489777973038,11.605187538416509,1.2789641982454518,10.37758299872985,0.6567906953816335,13.47827740013919,0.3500972288265291,11.3317053851368,0.4457774143229869,10.26538434919004,,,,,0.3714827503029909,8.096370917334925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2006-03-31,111.76204407349246,,,,,0.3979060087003992,12.896098769772143,0.2997015834529385,9.568123163192531,,,1.2789641982454518,10.470126458253509,0.6567906953816335,13.60092581671813,,,0.4457774143229869,9.634614001319251,0.6804425378837259,11.118431172847371,,,,,1.343319723542847,11.118431172847371,0.9822142800996836,11.118431172847371,1.0113483249477004,11.118431172847371,0.508588119997868,11.118431172847371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2006-04-30,112.31289197542333,,,,,0.3979060087003992,13.064420734481631,0.2997015834529385,9.45703211013265,,,1.2789641982454518,10.31290515512065,0.6567906953816335,13.126905752887836,,,0.4457774143229869,9.500001105328824,0.6804425378837259,12.013213473559992,,,,,1.343319723542847,10.712036269072538,0.9822142800996836,11.497514987753704,1.0113483249477004,11.849374201023956,0.508588119997868,10.779488186061531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2006-05-31,106.09337710202384,,,,,,,,,,,1.2789641982454518,10.406253626747237,0.6567906953816335,11.79619454803642,,,,,,,,,,,1.343319723542847,10.511775074362816,,,1.0113483249477004,11.548879397855274,0.508588119997868,9.836711273251154,0.4388835459321746,10.398712636354189,0.1998187329756261,10.398712636354189,0.2537020826997528,10.398712636354189,0.647971902743945,10.398712636354189,0.367740054613358,10.398712636354189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
2006-06-30,107.996922664295,,,,,,,,,,,1.2789641982454518,9.76753262997637,0.6567906953816335,13.125391203726467,,,,,,,,,,,1.343319723542847,10.60209380709116,,,1.0113483249477004,11.768159702166557,0.508588119997868,10.444973499690333,0.4388835459321746,10.060622263477768,0.1998187329756261,10.88124838075074,,,,,0.367740054613358,10.886287630143414,0.3627009001772259,10.230306773636094,0.5346695696474096,10.230306773636094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
