date,portfolio_value,MU_shares,MU_value,WDC_shares,WDC_value,ALK_shares,ALK_value,STX_shares,STX_value,LRCX_shares,LRCX_value,AMD_shares,AMD_value,HAS_shares,HAS_value,DECK_shares,DECK_value,NEM_shares,NEM_value,UNH_shares,UNH_value,AAPL_shares,AAPL_value,TPR_shares,TPR_value,UAL_shares,UAL_value,CNC_shares,CNC_value,GE_shares,GE_value,SWKS_shares,SWKS_value,MMM_shares,MMM_value,VFC_shares,VFC_value,run
2010-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2010-09-30,100.0,7.100233197146489,50.0,0.7269536685725315,12.5,1.0895785854980276,12.5,2.036948599030603,12.5,3.501222918409221,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2010-10-31,113.59490509957207,7.100233197146489,57.28155195175902,0.7269536685725315,14.093873039343196,1.0895785854980276,12.933573047494075,2.036948599030603,15.60908391083812,3.501222918409221,13.67682315013765,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2010-11-30,106.42845130206014,7.100233197146489,50.41610038765073,0.7269536685725315,14.749914172302086,1.0895785854980276,13.472468547387882,2.036948599030603,14.229628649127552,3.501222918409221,13.5603395455919,,,,,,,,,,,,,,,,,,,,,,,,,,,5
2010-12-31,115.84428926712286,7.100233197146489,55.61721472860149,0.7269536685725315,14.926031499181102,,,2.036948599030603,15.948645924618663,,,1.7941562359202656,14.676198557360804,0.5036110767364154,14.676198557360802,,,,,,,,,,,,,,,,,,,,,,,5
2011-01-31,130.6907522411756,7.100233197146489,73.09294008995414,0.7269536685725315,14.978867529177258,,,2.036948599030603,14.855700664970348,,,1.7941562359202656,14.048243190372425,0.5036110767364154,13.715000766701442,,,,,,,,,,,,,,,,,,,,,,,5
2011-03-31,141.3333131327758,7.100233197146489,79.54231496599685,0.7269536685725315,16.418632014646448,1.0821977923422186,15.429744313330572,2.036948599030603,15.290750472087144,,,,,0.5036110767364154,14.651871366714772,,,,,,,,,,,,,,,,,,,,,,,5
2011-04-30,145.40051194580212,7.100233197146489,78.50209954624775,0.7269536685725315,17.523776629464496,1.0821977923422186,16.025821271557337,2.036948599030603,18.696943131817793,,,,,0.5036110767364154,14.651871366714772,,,,,,,,,,,,,,,,,,,,,,,5
2011-05-31,135.7126502454288,7.100233197146489,70.73510222071206,0.7269536685725315,16.136844014329206,1.0821977923422186,16.43211916117175,2.036948599030603,18.00730583119118,,,,,0.5036110767364154,14.4012790180246,,,,,,,,,,,,,,,,,,,,,,,5
2011-06-30,115.69903349459862,7.100233197146489,51.87240942374052,0.7269536685725315,16.017965026668982,1.0821977923422186,16.655953253505714,2.036948599030603,17.32130893590913,,,,,,,0.941551889030986,13.831396854774288,,,,,,,,,,,,,,,,,,,,,5
