date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,ADP_shares,ADP_value,AAPL_shares,AAPL_value,NKE_shares,NKE_value,MKC_shares,MKC_value,MU_shares,MU_value,PAYX_shares,PAYX_value,ORCL_shares,ORCL_value,CVS_shares,CVS_value,COP_shares,COP_value,EA_shares,EA_value,TRV_shares,TRV_value,XOM_shares,XOM_value,VLO_shares,VLO_value,GWW_shares,GWW_value,CVX_shares,CVX_value,CTRA_shares,CTRA_value,EOG_shares,EOG_value,CHRW_shares,CHRW_value,CL_shares,CL_value,WDC_shares,WDC_value,ADM_shares,ADM_value,EL_shares,EL_value,DVN_shares,DVN_value,LLY_shares,LLY_value,AES_shares,AES_value,F_shares,F_value,ACN_shares,ACN_value,RMD_shares,RMD_value,HRL_shares,HRL_value,EMN_shares,EMN_value,CMI_shares,CMI_value,GPC_shares,GPC_value,FCX_shares,FCX_value,SYY_shares,SYY_value,DE_shares,DE_value,MRK_shares,MRK_value,EBAY_shares,EBAY_value,TXT_shares,TXT_value,NVR_shares,NVR_value,DLTR_shares,DLTR_value,MOH_shares,MOH_value,KR_shares,KR_value,TTWO_shares,TTWO_value,AXON_shares,AXON_value,DECK_shares,DECK_value,GRMN_shares,GRMN_value,CSGP_shares,CSGP_value,J_shares,J_value,SWKS_shares,SWKS_value,ZBRA_shares,ZBRA_value,WSM_shares,WSM_value,TJX_shares,TJX_value,GLW_shares,GLW_value,TSN_shares,TSN_value,ROST_shares,ROST_value,NEM_shares,NEM_value,FDX_shares,FDX_value,PWR_shares,PWR_value,DHI_shares,DHI_value,VZ_shares,VZ_value,ORLY_shares,ORLY_value,AMAT_shares,AMAT_value,AMP_shares,AMP_value,LVS_shares,LVS_value,LEN_shares,LEN_value,PHM_shares,PHM_value,PRU_shares,PRU_value,LRCX_shares,LRCX_value,CTSH_shares,CTSH_value,APA_shares,APA_value,LUV_shares,LUV_value,FSLR_shares,FSLR_value,SMCI_shares,SMCI_value,RCL_shares,RCL_value,RL_shares,RL_value,PCAR_shares,PCAR_value,MPC_shares,MPC_value,PSX_shares,PSX_value,TPR_shares,TPR_value,GE_shares,GE_value,LULU_shares,LULU_value,BAX_shares,BAX_value,JBHT_shares,JBHT_value,EXPD_shares,EXPD_value,TGT_shares,TGT_value,CPRT_shares,CPRT_value,STLD_shares,STLD_value,NWSA_shares,NWSA_value,ENPH_shares,ENPH_value,BMY_shares,BMY_value,ACGL_shares,ACGL_value,WMT_shares,WMT_value,MOS_shares,MOS_value,OXY_shares,OXY_value,NUE_shares,NUE_value,FANG_shares,FANG_value,CF_shares,CF_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2005-09-30,100.0,0.3955516136129001,10.0,0.1201201201201201,10.0,0.39790609929711,10.0,0.2997015834529385,10.0,0.3418491115338409,10.0,1.278964276244067,10.0,0.6567905719645603,10.0,0.3500971820705273,10.0,0.4457773385182882,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2005-10-31,99.67259431731551,0.3955516136129001,10.45569298034102,0.1201201201201201,9.717717901006475,0.39790609929711,10.186596655447932,0.2997015834529385,9.937974128696164,0.3418491115338409,11.225345532729232,1.278964276244067,9.875760401061932,0.6567905719645603,10.675006498529608,0.3500971820705273,9.951753193666534,0.4457773385182882,9.053846339593688,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2005-11-30,106.4036885903972,0.3955516136129001,10.513229968997942,0.1201201201201201,10.697897604635886,0.39790609929711,11.10261294363599,0.2997015834529385,10.902364215440697,0.3418491115338409,11.592019860694766,1.278964276244067,10.89403185945366,0.6567905719645603,11.860620163293172,0.3500971820705273,10.9875096649534,0.4457773385182882,9.084614437564577,,,0.3776268605941403,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2005-12-31,106.73996088418338,0.3955516136129001,10.200730251918504,0.1201201201201201,11.02102102102102,0.39790609929711,10.00707944506501,0.2997015834529385,10.748486823918231,0.3418491115338409,11.507497803489317,1.278964276244067,10.019486782798207,0.6567905719645603,12.88822591707563,0.3500971820705273,11.695409949277815,0.4457773385182882,10.088461151269495,,,,,3.968017096635271,8.563561738350138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2006-01-31,109.85523780313451,0.3955516136129001,9.974869864086472,0.1201201201201201,11.74174174174174,0.39790609929711,11.680964443851456,0.2997015834529385,10.404744162287749,0.3418491115338409,11.605192078542984,1.278964276244067,10.377587290760877,0.6567905719645603,13.478269856531256,0.3500971820705273,11.33170921382987,0.4457773385182882,10.26538260355569,,,,,3.968017096635271,8.994776547946424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2006-03-31,110.81629208034022,0.3955516136129001,9.95473271023412,,,0.39790609929711,12.896104741786196,0.2997015834529385,9.56812373482794,,,1.278964276244067,10.470124657351455,0.6567905719645603,13.600923260977815,,,0.4457773385182882,9.634613213200549,0.6837770707560855,11.172917440490538,,,,,1.349903487347772,11.172917440490538,0.9870274066670645,11.172917440490538,0.777135118790226,11.172917440490538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2006-04-30,112.41023130633674,0.3955516136129001,9.677765552256409,,,0.39790609929711,13.064422191145928,0.2997015834529385,9.457028680320215,,,1.278964276244067,10.312902124914954,0.6567905719645603,13.126904538948898,,,0.4457773385182882,9.50000034010112,0.6837770707560855,12.072084653711144,,,,,1.349903487347772,10.764541691381517,0.9870274066670645,11.553849459814334,0.777135118790226,12.880732073742228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2006-05-31,106.80838670091995,,,,,,,,,0.2838002894316078,10.24551912954134,1.278964276244067,10.406256700811378,0.6567905719645603,11.796196089607676,,,,,,,,,,,1.349903487347772,10.563290625728326,,,0.777135118790226,12.569528507524565,0.5297249480234503,10.24551912954134,0.8972119787307238,10.24551912954134,0.547658224309032,10.24551912954134,0.408289865087842,10.24551912954134,0.2499644585579265,10.24551912954134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
2006-06-30,109.80510073983012,,,,,,,,,0.2838002894316078,11.083911329784216,1.278964276244067,9.767534445372242,0.6567905719645603,13.125388737343526,,,,,,,,,,,1.349903487347772,10.654056526698264,,,,,0.5297249480234503,10.879067693991246,0.8972119787307238,10.440056696535324,,,0.408289865087842,10.66860993833924,,,0.3921928531783792,11.062158457255356,0.3491961909309886,11.062158457255356,0.3211521280120346,11.062158457255356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
