date,portfolio_value,MU_shares,MU_value,ALK_shares,ALK_value,WDC_shares,WDC_value,STX_shares,STX_value,AMD_shares,AMD_value,HAS_shares,HAS_value,DECK_shares,DECK_value,UNH_shares,UNH_value,GE_shares,GE_value,UAL_shares,UAL_value,TPR_shares,TPR_value,LRCX_shares,LRCX_value,NEM_shares,NEM_value,CNC_shares,CNC_value,MMM_shares,MMM_value,SWKS_shares,SWKS_value,VFC_shares,VFC_value,run,AAPL_shares,AAPL_value,CSCO_shares,CSCO_value
2010-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2010-09-30,100.0,7.100231274031796,50.0,1.0895785854980276,12.5,0.7269535072988745,12.5,2.0369478076415226,12.5,1.7580871681111163,12.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2010-10-31,112.82242643740344,7.100231274031796,57.28154997953372,1.0895785854980276,12.933568891081627,0.7269535072988745,14.093865752975791,2.0369478076415226,15.609081731613882,1.7580871681111163,12.904360082198409,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2010-11-30,105.6845424266176,7.100231274031796,50.41607996102435,1.0895785854980276,13.472469586490996,0.7269535072988745,14.74990951350043,2.0369478076415226,14.229627977137486,1.7580871681111163,12.816455388464336,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2010-12-31,114.7594597987012,7.100231274031796,55.61719627889529,,,0.7269535072988745,14.926028187861842,2.0369478076415226,15.948639728299211,1.7580871681111163,14.381153571674558,0.4765106320462666,13.886442031970294,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2011-01-31,129.67026541859144,7.100231274031796,73.09292706386935,,,0.7269535072988745,14.978864206136398,2.0369478076415226,14.85568420906222,1.7580871681111163,13.765822392178636,0.4765106320462666,12.976967547344833,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2011-03-31,140.23466367095375,7.100231274031796,79.54231373570028,1.0163910018626814,14.49148712928942,0.7269535072988745,16.418631145303404,2.0369478076415226,15.29074453137123,,,,,1.009273673950289,14.49148712928942,,,,,,,,,,,,,,,,,,,,,1,,,,
2011-04-30,144.04859608287938,7.100231274031796,78.5020715124631,1.0163910018626814,15.051316591209972,0.7269535072988745,17.523774128392883,2.0369478076415226,18.696939752907877,,,,,1.009273673950289,14.274494097905547,,,,,,,,,,,,,,,,,,,,,1,,,,
2011-05-31,135.63627105291783,7.100231274031796,70.73508983325316,1.0163910018626814,15.432909097665672,0.7269535072988745,16.136840434392877,2.0369478076415226,18.007293007293008,,,,,1.009273673950289,15.324138680313114,,,,,,,,,,,,,,,,,,,,,1,,,,
2011-06-30,115.68102582723265,7.100231274031796,51.87238860266945,1.0163910018626814,15.64313121231733,0.7269535072988745,16.01796424621335,2.0369478076415226,17.32131191921085,,,,,1.009273673950289,14.826229846821658,,,,,,,,,,,,,,,,,,,,,1,,,,
