date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,MSFT_shares,MSFT_value,EL_shares,EL_value,AAPL_shares,AAPL_value,JKHY_shares,JKHY_value,NKE_shares,NKE_value,PAYX_shares,PAYX_value,GEN_shares,GEN_value,COP_shares,COP_value,MU_shares,MU_value,ORCL_shares,ORCL_value,EA_shares,EA_value,TRV_shares,TRV_value,CVX_shares,CVX_value,GWW_shares,GWW_value,XOM_shares,XOM_value,CTRA_shares,CTRA_value,FAST_shares,FAST_value,EOG_shares,EOG_value,DHR_shares,DHR_value,ADP_shares,ADP_value,GPC_shares,GPC_value,ADM_shares,ADM_value,WDC_shares,WDC_value,HD_shares,HD_value,ACN_shares,ACN_value,EMN_shares,EMN_value,F_shares,F_value,EMR_shares,EMR_value,DE_shares,DE_value,DVN_shares,DVN_value,CMI_shares,CMI_value,NVR_shares,NVR_value,HRL_shares,HRL_value,BG_shares,BG_value,VLO_shares,VLO_value,JBL_shares,JBL_value,WST_shares,WST_value,UNH_shares,UNH_value,TGT_shares,TGT_value,WSM_shares,WSM_value,FCX_shares,FCX_value,EQIX_shares,EQIX_value,MGM_shares,MGM_value,CHRW_shares,CHRW_value,URI_shares,URI_value,VZ_shares,VZ_value,HUM_shares,HUM_value,CSGP_shares,CSGP_value,GLW_shares,GLW_value,BMY_shares,BMY_value,DECK_shares,DECK_value,GRMN_shares,GRMN_value,FDX_shares,FDX_value,EBAY_shares,EBAY_value,RMD_shares,RMD_value,CTSH_shares,CTSH_value,TSN_shares,TSN_value,LUV_shares,LUV_value,ROST_shares,ROST_value,WMB_shares,WMB_value,ZBH_shares,ZBH_value,VRSN_shares,VRSN_value,LRCX_shares,LRCX_value,CNC_shares,CNC_value,MOH_shares,MOH_value,LVS_shares,LVS_value,DLTR_shares,DLTR_value,PKG_shares,PKG_value,NEM_shares,NEM_value,DXCM_shares,DXCM_value,LLY_shares,LLY_value,GOOGL_shares,GOOGL_value,ALGN_shares,ALGN_value,FSLR_shares,FSLR_value,AMAT_shares,AMAT_value,ULTA_shares,ULTA_value,AXON_shares,AXON_value,TJX_shares,TJX_value,TKO_shares,TKO_value,MPWR_shares,MPWR_value,PCAR_shares,PCAR_value,ADSK_shares,ADSK_value,PRU_shares,PRU_value,APA_shares,APA_value,SMCI_shares,SMCI_value,PHM_shares,PHM_value,MHK_shares,MHK_value,HAS_shares,HAS_value,TXT_shares,TXT_value,EXPD_shares,EXPD_value,SYY_shares,SYY_value,MNST_shares,MNST_value,DD_shares,DD_value,TAP_shares,TAP_value,LULU_shares,LULU_value,RCL_shares,RCL_value,NUE_shares,NUE_value,SBUX_shares,SBUX_value,EPAM_shares,EPAM_value,TPR_shares,TPR_value,A_shares,A_value,BAX_shares,BAX_value,DHI_shares,DHI_value,GD_shares,GD_value,RL_shares,RL_value,STLD_shares,STLD_value,WY_shares,WY_value,KR_shares,KR_value,PSX_shares,PSX_value,NWSA_shares,NWSA_value,IEX_shares,IEX_value,QCOM_shares,QCOM_value,TSCO_shares,TSCO_value,UAL_shares,UAL_value,DAL_shares,DAL_value,FANG_shares,FANG_value,APD_shares,APD_value,MPC_shares,MPC_value,AMP_shares,AMP_value,SWKS_shares,SWKS_value,REGN_shares,REGN_value,GE_shares,GE_value,TSLA_shares,TSLA_value,EW_shares,EW_value,MOS_shares,MOS_value,VMC_shares,VMC_value,MLM_shares,MLM_value,OXY_shares,OXY_value,CF_shares,CF_value,NVDA_shares,NVDA_value,LEN_shares,LEN_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2005-09-30,100.0,0.3955517628258689,10.0,0.1201201201201201,10.0,0.3979061294960228,10.0,0.2997016177169496,10.0,0.3418490669549835,10.0,1.2789645102399698,10.0,0.6567906131035796,10.0,0.3500972522045346,10.0,0.4457773385182882,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2005-10-31,99.67260946844831,0.3955517628258689,10.455696170061426,0.1201201201201201,9.717717901006475,0.3979061294960228,10.186599705392451,0.2997016177169496,9.937980981230575,0.3418490669549835,11.225340156735156,1.2789645102399698,9.87576159804699,0.6567906131035796,10.675010925359985,0.3500972522045346,9.951755855031443,0.4457773385182882,9.05384548934089,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2005-11-30,106.4036991742415,0.3955517628258689,10.513240724974024,0.1201201201201201,10.697897604635886,0.3979061294960228,11.102609991535475,0.2997016177169496,10.90236203206349,0.3418490669549835,11.5920170449859,1.2789645102399698,10.894036292027968,0.6567906131035796,11.860622158928802,0.3500972522045346,10.987511866051047,0.4457773385182882,9.08461358731178,,,0.4548037690859315,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2005-12-31,106.48478802149236,0.3955517628258689,10.200734099915056,0.1201201201201201,11.02102102102102,0.3979061294960228,10.0070794456023,0.2997016177169496,10.748488052761497,0.3418490669549835,11.507489782599752,1.2789645102399698,10.019489225794668,0.6567906131035796,12.888229229805496,0.3500972522045346,11.695412292187182,0.4457773385182882,10.088461151269495,,,,,0.6405896920861436,8.308383720535895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2006-01-31,110.01827180724878,0.3955517628258689,9.974873626882262,0.1201201201201201,11.74174174174174,0.3979061294960228,11.68096760721038,0.2997016177169496,10.404745351831911,0.3418490669549835,11.605185348964293,1.2789645102399698,10.377587969701043,0.6567906131035796,13.47828072259144,,,,,,,0.549118341781594,10.798541519162471,0.6405896920861436,9.15780640000078,4.7637422829080975,10.798541519162471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2006-03-31,109.87410476116357,0.3955517628258689,9.954737219888736,,,0.3979061294960228,12.896102684747689,0.2997016177169496,9.568120827275424,0.3418490669549835,12.62793014487286,1.2789645102399698,10.47012657293762,0.6567906131035796,13.600926618348504,,,0.5193179141980777,11.224047256329412,,,,,0.6405896920861436,9.338602103168745,4.7637422829080975,8.96946407726516,0.6294124630499491,11.224047256329412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2006-04-30,109.80241959672806,0.3955517628258689,9.677763921790469,,,0.3979061294960228,13.0644201468818,0.2997016177169496,9.457029761514825,0.3418490669549835,12.69088580056357,1.2789645102399698,10.312904011736103,0.6567906131035796,13.126900350256674,,,0.5193179141980777,11.067230061314437,,,,,0.6405896920861436,9.321023054640282,4.7637422829080975,10.066339025623469,0.6294124630499491,11.017923462406442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2006-05-31,103.31547106422198,,,,,,,,,,,1.2789645102399698,10.406256165281222,0.6567906131035796,11.796190564835944,,,,,,,,,,,,,0.6294124630499491,9.206959836370318,1.3127151404319024,10.272294928247783,0.5311094441756677,10.272294928247783,1.824000640556535,10.272294928247783,0.409357051732026,10.272294928247783,0.6351041881275683,10.272294928247783,0.8995564659373707,10.272294928247783,0.2506177195534396,10.272294928247788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
2006-06-30,105.0837031751421,,,,,,,,,,,1.2789645102399698,9.767537452129972,0.6567906131035796,13.125390812199749,,,,,,,,,,,,,,,1.3127151404319024,10.360552817695291,0.5311094441756677,10.907498330620395,,,0.409357051732026,10.696483802479472,,,0.8995564659373707,10.4673348323948,,,0.3523987128018306,9.939726281905608,0.3357652110138572,9.939726281905608,0.1825290371602247,9.939726281905608,0.3137644486108179,9.939726281905608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
