date,portfolio_value,MU_shares,MU_value,ALK_shares,ALK_value,WDC_shares,WDC_value,STX_shares,STX_value,LRCX_shares,LRCX_value,HAS_shares,HAS_value,AMD_shares,AMD_value,DECK_shares,DECK_value,NEM_shares,NEM_value,UNH_shares,UNH_value,AAPL_shares,AAPL_value,TPR_shares,TPR_value,UAL_shares,UAL_value,CNC_shares,CNC_value,GE_shares,GE_value,SWKS_shares,SWKS_value,MMM_shares,MMM_value,VFC_shares,VFC_value,run
2010-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2010-09-30,100.0,7.100232235589012,50.0,1.0895787666475776,12.5,0.72695382984626,12.5,2.0369474910860625,12.5,3.501221749342045,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2010-10-31,113.5948770328488,7.100232235589012,57.28153742302799,1.0895787666475776,12.93357208047514,0.72695382984626,14.093876166050649,2.0369474910860625,15.609074449395791,3.501221749342045,13.676816913899229,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2010-11-30,106.42842932467948,7.100232235589012,50.416090174336155,1.0895787666475776,13.472470787273696,0.72695382984626,14.749917444551413,2.0369474910860625,14.229620909295834,3.501221749342045,13.560330009222389,,,,,,,,,,,,,,,,,,,,,,,,,,,4
2010-12-31,115.844272478466,7.100232235589012,55.61720381091986,,,0.72695382984626,14.926037583610617,2.0369474910860625,15.948640163649536,,,0.5036107726870321,14.676195460142988,1.7941558572872949,14.676195460142983,,,,,,,,,,,,,,,,,,,,,,,4
2011-01-31,130.69072148817813,7.100232235589012,73.09293696256543,,,0.72695382984626,14.978870852219591,2.0369474910860625,14.855683842972969,,,0.5036107726870321,13.714989604743844,1.7941558572872949,14.048240225676288,,,,,,,,,,,,,,,,,,,,,,,4
2011-03-31,141.33329996339012,7.100232235589012,79.54231096519392,1.0821973468007278,15.429741057086876,0.72695382984626,16.41863843020745,2.0369474910860625,15.290745068962917,,,0.5036107726870321,14.65186444193894,,,,,,,,,,,,,,,,,,,,,,,,,4
2011-04-30,145.4004781562016,7.100232235589012,78.50207537238984,1.0821973468007278,16.025815705780765,0.72695382984626,17.523781903646007,2.0369474910860625,18.69694073244605,,,0.5036107726870321,14.65186444193894,,,,,,,,,,,,,,,,,,,,,,,,,4
2011-05-31,135.7126029933533,7.100232235589012,70.73507909870897,1.0821973468007278,16.432112396058276,0.72695382984626,16.13684898082151,2.0369474910860625,18.007296036591455,,,0.5036107726870321,14.4012664811731,,,,,,,,,,,,,,,,,,,,,,,,,4
2011-06-30,115.69901231884349,7.100232235589012,51.872399013203584,1.0821973468007278,16.655949492431052,0.72695382984626,16.01796996678814,2.0369474910860625,17.321305342192865,,,,,,,0.9415513205798846,13.831388504227847,,,,,,,,,,,,,,,,,,,,,4
