date,portfolio_value,WBA_shares,WBA_value,AZO_shares,AZO_value,BBY_shares,BBY_value,CCL_shares,CCL_value,COST_shares,COST_value,CTAS_shares,CTAS_value,DRI_shares,DRI_value,FDS_shares,FDS_value,STZ_shares,STZ_value,KMX_shares,KMX_value,ADP_shares,ADP_value,AAPL_shares,AAPL_value,ORCL_shares,ORCL_value,MKC_shares,MKC_value,NKE_shares,NKE_value,MU_shares,MU_value,PAYX_shares,PAYX_value,CVS_shares,CVS_value,EA_shares,EA_value,GRMN_shares,GRMN_value,GWW_shares,GWW_value,COP_shares,COP_value,CVX_shares,CVX_value,CPRT_shares,CPRT_value,DE_shares,DE_value,CTSH_shares,CTSH_value,CTRA_shares,CTRA_value,FCX_shares,FCX_value,FAST_shares,FAST_value,WDC_shares,WDC_value,SYY_shares,SYY_value,RMD_shares,RMD_value,EOG_shares,EOG_value,F_shares,F_value,GPC_shares,GPC_value,DVN_shares,DVN_value,EMN_shares,EMN_value,EBAY_shares,EBAY_value,ISRG_shares,ISRG_value,TRV_shares,TRV_value,VLO_shares,VLO_value,XOM_shares,XOM_value,TER_shares,TER_value,CMI_shares,CMI_value,DECK_shares,DECK_value,JBL_shares,JBL_value,MGM_shares,MGM_value,FFIV_shares,FFIV_value,CSGP_shares,CSGP_value,TXT_shares,TXT_value,URI_shares,URI_value,NVR_shares,NVR_value,MOH_shares,MOH_value,ALGN_shares,ALGN_value,CHRW_shares,CHRW_value,J_shares,J_value,FDX_shares,FDX_value,GLW_shares,GLW_value,PWR_shares,PWR_value,ROST_shares,ROST_value,WSM_shares,WSM_value,NEM_shares,NEM_value,CNC_shares,CNC_value,MOS_shares,MOS_value,TSCO_shares,TSCO_value,DD_shares,DD_value,AMP_shares,AMP_value,LRCX_shares,LRCX_value,LVS_shares,LVS_value,EXPD_shares,EXPD_value,A_shares,A_value,HRL_shares,HRL_value,PCAR_shares,PCAR_value,PHM_shares,PHM_value,STX_shares,STX_value,ABT_shares,ABT_value,FSLR_shares,FSLR_value,TSN_shares,TSN_value,LUV_shares,LUV_value,APA_shares,APA_value,SMCI_shares,SMCI_value,GE_shares,GE_value,ULTA_shares,ULTA_value,STLD_shares,STLD_value,LULU_shares,LULU_value,PRU_shares,PRU_value,NUE_shares,NUE_value,CF_shares,CF_value,ALB_shares,ALB_value,DHI_shares,DHI_value,PSX_shares,PSX_value,AMD_shares,AMD_value,ENPH_shares,ENPH_value,MHK_shares,MHK_value,ACGL_shares,ACGL_value,LEN_shares,LEN_value,WY_shares,WY_value,FANG_shares,FANG_value,OXY_shares,OXY_value,run
2005-08-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2005-09-30,100.0,0.3955517329832662,10.0,0.1201201201201201,10.0,0.3979062200927887,10.0,0.2997014806609521,10.0,0.3418491784021488,10.0,1.2789648222346404,10.0,0.656790654242604,10.0,0.350097415850661,10.0,0.4457774901277114,10.0,0.6395906526133238,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2005-10-31,99.67261454925466,0.3955517329832662,10.455696890136254,0.1201201201201201,9.717717901006475,0.3979062200927887,10.186602783661716,0.2997014806609521,9.937971863429032,0.3418491784021488,11.225347728492904,1.2789648222346404,9.875765226887587,0.656790654242604,10.675006583089615,0.350097415850661,9.951757167996318,0.4457774901277114,9.053847718311832,0.6395906526133238,8.592900686242924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2005-11-30,106.4037048971376,0.3955517329832662,10.513242195162434,0.1201201201201201,10.697897604635886,0.3979062200927887,11.102609483635987,0.2997014806609521,10.902360476135543,0.3418491784021488,11.592020824131623,1.2789648222346404,10.894036510122026,0.656790654242604,11.8606178909209,0.350097415850661,10.987513663159849,0.4457774901277114,9.084618377506247,,,0.3776267675396313,8.768787871727117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2005-12-31,106.73997491552682,0.3955517329832662,10.200734839225628,0.1201201201201201,11.02102102102102,0.3979062200927887,10.00708020616006,0.2997014806609521,10.748483137390124,0.3418491784021488,11.507496142290757,1.2789648222346404,10.01949288969664,0.656790654242604,12.888230037078266,0.350097415850661,11.695416423463705,0.4457774901277114,10.088462031608328,,,0.3776267675396313,8.563558187592305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2006-01-31,109.09076873705322,0.3955517329832662,9.974869102047592,0.1201201201201201,11.74174174174174,0.3979062200927887,11.680974820452375,0.2997014806609521,10.404739450386469,0.3418491784021488,11.605193044556428,1.2789648222346404,10.37758928152696,0.656790654242604,13.478277808636664,0.350097415850661,11.331716780667398,,,,,0.3776267675396313,8.230278911706463,4.528544164136478,10.265387795331158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2006-03-31,110.79328890563184,0.3955517329832662,9.95473420548338,,,0.3979062200927887,12.896110174656217,0.2997014806609521,9.56812159641251,,,1.2789648222346404,10.4701303467695,0.656790654242604,13.600924964804586,,,0.5025042046210921,10.860653523501124,0.6646666720979828,10.860653523501124,,,,,0.9879002459604238,10.860653523501124,0.9594415185520628,10.860653523501124,1.3121755420262755,10.860653523501124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2006-04-30,111.35189811890967,0.3955517329832662,9.677764700556788,,,0.3979062200927887,13.064421603546402,0.2997014806609521,9.457024293467455,,,1.2789648222346404,10.312907747214611,0.656790654242604,13.126903677936465,,,0.5025042046210921,10.708907773660522,0.6646666720979828,11.734690552280272,,,,,0.9879002459604238,11.574648718509035,0.9594415185520628,11.230942742539929,1.3121755420262755,10.463686309198213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2006-05-31,105.81032308751271,,,,,,,,,,,1.2789648222346404,10.406261143248257,0.656790654242604,11.796188798249789,,,,,,,,,,,0.9879002459604238,11.281117109325317,,,1.3121755420262755,10.268070570754832,0.639482727154485,10.34311424432242,0.5347706528695966,10.343114244322418,0.5528750187521883,10.34311424432242,0.2523455531942217,10.34311424432242,0.4096661333600346,10.34311424432242,0.1987503990726145,10.34311424432242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
2006-06-30,109.60943174984708,,,,,,,,,,,1.2789648222346404,9.767538005280272,0.656790654242604,13.125385370683691,,,,,,,0.4766268725251709,10.76478838921542,,,0.9879002459604238,11.495312464568377,,,1.3121755420262755,10.356289052866243,,,0.5347706528695966,10.982686228274154,,,,,,,0.1987503990726145,10.823067071312655,0.4119707842584838,10.76478838921542,0.3636359602139797,10.76478838921542,7.012891611267708,10.76478838921542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
